i,t
2267,1
2268,1
2271,1
2272,1
2274,1
2275,1
2277,1
2278,1
2286,1
2288,1
2292,15
2293,1
2301,0
2302,13
2303,1
2306,9
2307,1
2314,1
2315,7
2317,1
2319,13
2320,1
2323,1
2329,1
2333,1
2335,1
2342,1
2345,1
2349,1
2356,1
2359,1
2370,14
2376,1
2381,1
2382,1
2385,1
2388,1
2393,1
2394,1
2395,13
2396,3
2397,1
2398,1
2399,13
2402,1
2404,1
2406,1
2410,1
2419,1
2420,1
2421,1
2422,1
2424,1
2425,1
2426,2
2427,1
2430,10
2431,1
2432,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,1
2445,1
2446,1
2447,1
2448,1
2453,1
2457,1
2458,1
2459,0
2461,1
2462,12
2463,1
2464,1
2465,15
2466,1
2467,8
2468,1
2472,0
2473,1
2474,1
2476,1
2477,1
2482,8
2484,1
2485,1
2487,1
2492,1
2493,2
2494,1
2495,1
2496,1
2499,1
2500,1
2501,1
2504,1
2505,1
2506,1
2509,1
2513,1
2514,1
2521,1
2523,1
2524,1
2529,1
2530,1
2531,1
2535,1
2536,1
2537,1
2538,1
2539,9
2541,1
2542,1
2545,1
2548,1
2549,1
2551,1
2552,1
2553,15
2554,1
2557,1
2561,1
2562,1
2565,1
2566,1
2571,1
2572,1
2575,1
2577,2
2580,1
2585,1
2590,1
2591,1
2593,1
2597,1
2599,1
2600,1
2601,6
2602,1
2604,1
2608,8
2609,1
2613,1
2614,1
2615,1
2616,1
2619,1
2621,1
2623,1
2626,1
2628,1
2629,12
2630,1
2633,1
2635,1
2637,1
2638,1
2639,1
2640,1
2641,5
2642,1
2646,1
2647,1
2648,1
2650,1
2655,1
2656,1
2657,8
2658,9
2659,1
2661,1
2663,3
2666,1
2669,1
2671,1
2672,1
2674,14
2675,6
2676,1
2679,1
2681,1
2683,14
2685,1
2686,1
2687,1
2688,1
2691,1
2692,1
2694,1
2700,1
2709,1
2712,1
2713,1
2714,7
2715,1
2717,1
2721,1
2723,1
2727,1
2728,1
2729,1
2732,1
2735,9
2736,1
2737,10
2742,1
2743,1
2744,1
2745,1
2749,1
2753,1
2755,1
2756,13
2758,1
2760,1
2761,6
2764,1
2765,1
2766,1
2767,1
2769,15
2773,13
2774,1
2783,1
2784,1
2786,5
2787,1
2788,13
2789,1
2790,1
2791,1
2792,1
2795,1
2796,1
2797,1
2799,1
2800,1
2802,1
2803,1
2804,1
2807,1
2810,1
2812,1
2813,1
2814,1
2817,1
2825,1
2826,1
2828,1
2833,10
2835,1
2836,1
2837,1
2838,1
2843,1
2844,1
2848,1
2850,1
2853,1
2863,1
2864,7
2866,10
2868,1
2869,1
2875,1
2883,1
2884,1
2885,1
2886,1
2898,1
2900,1
2907,1
2908,1
2912,1
2915,1
2921,1
2922,1
2923,1
2925,1
2928,1
2929,13
2935,1
2937,1
2940,1
2951,1
2956,7
2957,1
2958,1
2959,1
2960,1
2961,1
2962,1
2964,1
2967,1
2973,1
2979,1
2987,1
2988,1
2989,1
2990,1
2993,1
2997,1
3014,1
3017,1
3024,1
3026,1
3033,1
3042,1
3053,1
3055,1
3068,1
3090,3
3111,1
3125,1
3127,1
3128,1
3129,1
3131,1
3132,14
3133,14
3135,1
3137,7
3138,1
3139,1
3141,1
3142,1
3146,1
3148,1
3152,1
3153,1
3154,1
3155,1
3156,14
3157,5
3158,7
3159,1
3160,1
3161,1
3162,1
3163,1
3164,4
3166,1
3167,9
3168,1
3169,1
3173,1
3181,1
3188,1
3198,1
3199,1
3207,1
3208,1
3209,1
3210,2
3211,1
3212,1
3213,1
3214,2
3215,1
3217,8
3218,1
3220,1
3221,1
3222,1
3223,1
3225,7
3226,11
3228,1
3230,10
3231,1
3232,15
3233,14
3234,1
3235,1
3237,1
3238,1
3239,1
3240,1
3241,1
3242,0
3243,1
3245,1
3246,1
3247,1
3248,1
3249,1
3250,1
3251,1
3253,1
3254,1
3256,1
3257,1
3258,3
3259,1
3260,1
3262,1
3263,2
3264,11
3266,1
3267,1
3268,1
3269,1
3270,13
3271,3
3272,2
3273,12
3274,12
3275,5
3276,11
3277,12
3278,1
3279,1
3280,1
3281,11
3282,13
3283,12
3284,6
3285,12
3286,4
3287,1
3290,1
3291,1
3292,12
3293,1
3294,6
3295,1
3296,1
3297,5
3298,1
3299,1
3300,8
3301,11
3303,11
3304,1
3305,9
3306,1
3307,1
3308,1
3309,15
3310,8
3311,1
3312,1
3315,1
3316,10
3318,4
3319,0
3320,7
3321,5
3322,1
3324,14
3325,1
3326,0
3327,8
3328,1
3329,14
3331,11
3332,1
3333,13
3334,1
3336,1
3337,1
3339,1
3340,1
3342,5
3343,1
3344,13
3345,1
3346,1
3348,12
3351,1
3352,1
3353,1
3354,1
3356,1
3357,11
3358,6
3359,1
3360,10
3361,1
3362,1
3363,1
3364,1
3365,12
3366,1
3367,14
3368,1
3369,12
3370,1
3371,14
3372,1
3373,1
3374,1
3375,4
3376,10
3377,1
3378,1
3379,1
3380,1
3381,1
3383,4
3384,1
3385,1
3386,1
3387,15
3388,1
3389,1
3390,1
3391,12
3392,1
3393,1
3394,1
3395,1
3396,12
3397,1
3398,1
3400,1
3401,1
3402,1
3403,7
3404,1
3406,1
3407,1
3408,1
3409,1
3410,1
3411,1
3412,1
3415,1
3417,1
3418,15
3419,10
3420,1
3421,1
3422,8
3423,10
3424,7
3426,5
3427,1
3428,1
3430,12
3431,1
3432,1
3433,1
3435,1
3436,1
3437,1
3442,10
3444,1
3446,1
3451,1
3456,1
3458,1
3459,13
3460,1
3469,1
3470,1
3474,1
3479,1
3481,1
3482,1
3483,1
3484,9
3485,1
3486,1
3489,0
3490,1
3491,10
3495,1
3498,1
3500,1
3501,1
3502,1
3503,1
3505,1
3506,1
3507,1
3508,1
3510,5
3511,2
3512,1
3513,1
3514,8
3515,1
3516,4
3517,1
3520,15
3521,5
3522,1
3523,2
3524,6
3526,9
3527,10
3529,1
3530,7
3531,1
3532,12
3535,8
3537,13
3538,10
3539,15
3540,1
3541,1
3542,2
3543,15
3545,3
3546,4
3547,7
3548,3
3549,10
3550,1
3551,1
3552,8
3553,15
3554,3
3555,14
3556,1
3557,2
3558,1
3559,1
3560,1
3563,15
3564,1
3565,12
3566,1
3568,1
3569,1
3570,1
3571,1
3572,1
3573,1
3575,8
3577,1
3580,13
3582,1
3583,13
3584,1
3586,1
3587,1
3588,1
3590,1
3591,1
3594,6
3595,1
3596,1
3597,1
3598,1
3599,1
3600,13
3602,1
3603,1
3604,1
3605,1
3606,1
3609,1
3610,1
3611,1
3612,7
3615,12
3616,1
3617,1
3619,1
3622,1
3623,1
3625,1
3627,6
3628,1
3632,1
3636,1
3637,10
3639,1
3643,1
3644,1
3645,12
3647,1
3649,1
3651,1
3652,1
3653,1
3654,1
3655,15
3656,1
3657,1
3659,1
3660,1
3665,1
3666,1
3667,1
3670,1
3671,1
3677,1
3680,1
3681,1
3682,1
3683,1
3684,1
3685,1
3686,1
3687,1
3688,1
3689,14
3691,8
3692,6
3693,1
3694,1
3695,1
3696,1
3698,1
3700,1
3701,1
3702,1
3703,13
3704,11
3705,1
3707,1
3708,1
3709,7
3711,1
